GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1628368-1628436-1630170-1642264-,D. Fox - L. Kornet - D. Vassell - S. Castle,1610612759,SAS,11,7,4,0.636,62.715,49,110,0.445,9,29,0.31,34,43,0.791,16,43,59,26,20.0,13,10,8,28,36,141,-6.0,89,85,2873,1052,110,115,114,1482,237,212,1444,65,67,1086,96,104,104,140,3108,77,59,3109,3091,70,115,2674,188145
Lineups,-1628368-1630170-1641705-1642844-,D. Fox - D. Vassell - V. Wembanyama - D. Harper,1610612759,SAS,15,10,5,0.667,61.233333,51,111,0.459,10,38,0.263,37,44,0.841,12,47,59,26,15.0,11,9,5,33,32,149,42.0,37,19,3068,906,114,105,112,1387,217,147,1598,53,66,919,146,92,104,140,3048,101,69,2974,3123,85,102,22,183700
Lineups,-1628368-1628436-1630170-1630577-,D. Fox - L. Kornet - D. Vassell - J. Champagnie,1610612759,SAS,12,6,6,0.5,58.955,51,110,0.464,16,37,0.432,21,25,0.84,14,43,57,33,17.0,8,10,8,29,29,139,-8.0,76,131,3129,1178,121,105,114,1358,108,156,795,161,183,920,115,104,110,99,3082,160,59,3109,3099,105,120,2855,176865
Lineups,-1628404-1628969-1628973-1630540-,J. Hart - M. Bridges - J. Brunson - M. McBride,1610612752,NYK,11,9,2,0.818,58.665,53,107,0.495,23,51,0.451,21,26,0.808,17,35,52,34,13.0,8,7,3,27,27,150,22.0,89,37,2085,766,123,102,124,1187,59,84,759,161,165,1011,87,148,129,91,3014,160,103,2757,3082,125,100,63,175995
Lineups,-1628384-1628969-1628973-1629013-,O. Anunoby - M. Bridges - J. Brunson - L. Shamet,1610612752,NYK,8,8,0,1.0,58.15,49,92,0.533,15,30,0.5,36,46,0.783,9,40,49,26,18.0,16,1,8,20,41,149,50.0,186,57,1,1,126,115,159,707,119,204,385,57,59,1106,226,121,139,140,3096,48,747,3109,3008,59,102,13,174450
Lineups,-1628368-1629640-1641705-1642844-,D. Fox - K. Johnson - V. Wembanyama - D. Harper,1610612759,SAS,17,10,7,0.588,57.843333,51,104,0.49,14,42,0.333,38,45,0.844,10,43,53,27,12.0,10,7,7,26,29,154,26.0,14,19,3161,1126,128,105,131,1199,131,124,1167,49,63,913,190,104,126,133,2992,116,103,3078,3072,105,95,42,173530
Lineups,-1629640-1630577-1641705-1642844-,K. Johnson - J. Champagnie - V. Wembanyama - D. Harper,1610612759,SAS,16,9,7,0.563,55.735,53,104,0.51,19,50,0.38,23,31,0.742,12,41,53,34,10.0,5,5,5,17,21,148,12.0,25,37,3161,1153,139,102,131,788,79,89,1016,136,125,1319,146,118,126,91,2923,284,170,2974,2958,189,105,164,167205
Lineups,-1628404-1628969-1628973-1629011-,J. Hart - M. Bridges - J. Brunson - M. Robinson,1610612752,NYK,13,11,2,0.846,54.2,49,93,0.527,14,34,0.412,22,31,0.71,9,40,49,25,17.0,9,3,4,28,35,134,14.0,61,9,2085,747,146,115,155,720,131,177,868,147,125,1399,226,121,139,149,3082,133,314,2903,3091,76,126,132,162600
Lineups,-1628368-1629640-1630577-1642844-,D. Fox - K. Johnson - J. Champagnie - D. Harper,1610612759,SAS,17,10,7,0.588,53.441667,50,94,0.532,16,35,0.457,27,32,0.844,7,36,43,24,13.0,9,10,6,20,18,143,25.0,14,19,3161,1126,149,113,149,708,108,168,744,101,116,914,307,141,159,162,3014,133,59,3041,3008,233,110,45,160325
Lineups,-1628436-1629640-1642264-1642844-,L. Kornet - K. Johnson - S. Castle - D. Harper,1610612759,SAS,17,10,7,0.588,53.353333,45,104,0.433,10,34,0.294,23,31,0.742,13,42,55,29,13.0,13,3,5,22,26,123,10.0,14,19,3161,1126,151,132,131,1592,217,177,1484,136,125,1319,133,111,117,121,3014,77,314,2974,3036,137,138,210,160060
Lineups,-1628436-1629640-1630170-1642264-,L. Kornet - K. Johnson - D. Vassell - S. Castle,1610612759,SAS,15,9,6,0.6,51.63,45,99,0.455,9,29,0.31,21,28,0.75,12,40,52,27,14.0,13,3,4,27,22,120,-2.0,37,37,3129,1072,156,132,140,1412,237,212,1444,161,145,1162,146,121,129,133,3036,77,314,2903,3082,170,147,1944,154890
Lineups,-1626157-1628969-1628973-1629013-,K. Towns - M. Bridges - J. Brunson - L. Shamet,1610612752,NYK,7,7,0,1.0,51.576667,48,94,0.511,18,39,0.462,28,32,0.875,8,42,50,30,11.0,11,3,8,21,31,142,60.0,237,85,1,1,157,123,149,783,89,140,736,91,116,807,262,111,138,115,2960,101,314,3109,3025,95,113,9,154730
Lineups,-1628404-1628973-1629011-1630540-,J. Hart - J. Brunson - M. Robinson - M. McBride,1610612752,NYK,11,10,1,0.909,50.566667,51,94,0.543,21,41,0.512,17,26,0.654,17,30,47,25,14.0,8,2,1,21,25,140,29.0,89,19,701,702,159,105,149,671,66,131,384,219,165,1597,87,173,147,149,3036,160,474,1796,3025,146,118,33,151700
